ID,Name,Age,Marks
1,Student1,19,61
2,Student2,20,62
3,Student3,21,63
4,Student4,22,64
5,Student5,18,65
6,Student6,19,66
7,Student7,20,67
8,Student8,21,68
9,Student9,22,69
10,Student10,18,70
11,Student11,19,71
12,Student12,20,72
13,Student13,21,73
14,Student14,22,74
15,Student15,18,75
16,Student16,19,76
17,Student17,20,77
18,Student18,21,78
19,Student19,22,79
20,Student20,18,80
21,Student21,19,81
22,Student22,20,82
23,Student23,21,83
24,Student24,22,84
25,Student25,18,85
26,Student26,19,86
27,Student27,20,87
28,Student28,21,88
29,Student29,22,89
30,Student30,18,90
31,Student31,19,91
32,Student32,20,92
33,Student33,21,93
34,Student34,22,94
35,Student35,18,95
36,Student36,19,96
37,Student37,20,97
38,Student38,21,98
39,Student39,22,99
40,Student40,18,100
41,Student41,19,60
42,Student42,20,61
43,Student43,21,62
44,Student44,22,63
45,Student45,18,64
46,Student46,19,65
47,Student47,20,66
48,Student48,21,67
49,Student49,22,68
50,Student50,18,69
51,Student51,19,70
52,Student52,20,71
53,Student53,21,72
54,Student54,22,73
55,Student55,18,74
56,Student56,19,75
57,Student57,20,76
58,Student58,21,77
59,Student59,22,78
60,Student60,18,79
61,Student61,19,80
62,Student62,20,81
63,Student63,21,82
64,Student64,22,83
65,Student65,18,84
66,Student66,19,85
67,Student67,20,86
68,Student68,21,87
69,Student69,22,88
70,Student70,18,89
71,Student71,19,90
72,Student72,20,91
73,Student73,21,92
74,Student74,22,93
75,Student75,18,94
76,Student76,19,95
77,Student77,20,96
78,Student78,21,97
79,Student79,22,98
80,Student80,18,99
81,Student81,19,100
82,Student82,20,60
83,Student83,21,61
84,Student84,22,62
85,Student85,18,63
86,Student86,19,64
87,Student87,20,65
88,Student88,21,66
89,Student89,22,67
90,Student90,18,68
91,Student91,19,69
92,Student92,20,70
93,Student93,21,71
94,Student94,22,72
95,Student95,18,73
96,Student96,19,74
97,Student97,20,75
98,Student98,21,76
99,Student99,22,77
100,Student100,18,78
101,Student101,19,79
102,Student102,20,80
103,Student103,21,81
104,Student104,22,82
105,Student105,18,83
106,Student106,19,84
107,Student107,20,85
108,Student108,21,86
109,Student109,22,87
110,Student110,18,88
111,Student111,19,89
112,Student112,20,90
113,Student113,21,91
114,Student114,22,92
115,Student115,18,93
116,Student116,19,94
117,Student117,20,95
118,Student118,21,96
119,Student119,22,97
120,Student120,18,98
121,Student121,19,99
122,Student122,20,100
123,Student123,21,60
124,Student124,22,61
125,Student125,18,62
126,Student126,19,63
127,Student127,20,64
128,Student128,21,65
129,Student129,22,66
130,Student130,18,67
131,Student131,19,68
132,Student132,20,69
133,Student133,21,70
134,Student134,22,71
135,Student135,18,72
136,Student136,19,73
137,Student137,20,74
138,Student138,21,75
139,Student139,22,76
140,Student140,18,77
141,Student141,19,78
142,Student142,20,79
143,Student143,21,80
144,Student144,22,81
145,Student145,18,82
146,Student146,19,83
147,Student147,20,84
148,Student148,21,85
149,Student149,22,86
150,Student150,18,87
151,Student151,19,88
152,Student152,20,89
153,Student153,21,90
154,Student154,22,91
155,Student155,18,92
156,Student156,19,93
157,Student157,20,94
158,Student158,21,95
159,Student159,22,96
160,Student160,18,97
161,Student161,19,98
162,Student162,20,99
163,Student163,21,100
164,Student164,22,60
165,Student165,18,61
166,Student166,19,62
167,Student167,20,63
168,Student168,21,64
169,Student169,22,65
170,Student170,18,66
171,Student171,19,67
172,Student172,20,68
173,Student173,21,69
174,Student174,22,70
175,Student175,18,71
176,Student176,19,72
177,Student177,20,73
178,Student178,21,74
179,Student179,22,75
180,Student180,18,76
181,Student181,19,77
182,Student182,20,78
183,Student183,21,79
184,Student184,22,80
185,Student185,18,81
186,Student186,19,82
187,Student187,20,83
188,Student188,21,84
189,Student189,22,85
190,Student190,18,86
191,Student191,19,87
192,Student192,20,88
193,Student193,21,89
194,Student194,22,90
195,Student195,18,91
196,Student196,19,92
197,Student197,20,93
198,Student198,21,94
199,Student199,22,95
200,Student200,18,96
201,Student201,19,97
202,Student202,20,98
203,Student203,21,99
204,Student204,22,100
205,Student205,18,60
206,Student206,19,61
207,Student207,20,62
208,Student208,21,63
209,Student209,22,64
210,Student210,18,65
211,Student211,19,66
212,Student212,20,67
213,Student213,21,68
214,Student214,22,69
215,Student215,18,70
216,Student216,19,71
217,Student217,20,72
218,Student218,21,73
219,Student219,22,74
220,Student220,18,75
221,Student221,19,76
222,Student222,20,77
223,Student223,21,78
224,Student224,22,79
225,Student225,18,80
226,Student226,19,81
227,Student227,20,82
228,Student228,21,83
229,Student229,22,84
230,Student230,18,85
231,Student231,19,86
232,Student232,20,87
233,Student233,21,88
234,Student234,22,89
235,Student235,18,90
236,Student236,19,91
237,Student237,20,92
238,Student238,21,93
239,Student239,22,94
240,Student240,18,95
241,Student241,19,96
242,Student242,20,97
243,Student243,21,98
244,Student244,22,99
245,Student245,18,100
246,Student246,19,60
247,Student247,20,61
248,Student248,21,62
249,Student249,22,63
250,Student250,18,64
251,Student251,19,65
252,Student252,20,66
253,Student253,21,67
254,Student254,22,68
255,Student255,18,69
256,Student256,19,70
257,Student257,20,71
258,Student258,21,72
259,Student259,22,73
260,Student260,18,74
261,Student261,19,75
262,Student262,20,76
263,Student263,21,77
264,Student264,22,78
265,Student265,18,79
266,Student266,19,80
267,Student267,20,81
268,Student268,21,82
269,Student269,22,83
270,Student270,18,84
271,Student271,19,85
272,Student272,20,86
273,Student273,21,87
274,Student274,22,88
275,Student275,18,89
276,Student276,19,90
277,Student277,20,91
278,Student278,21,92
279,Student279,22,93
280,Student280,18,94
281,Student281,19,95
282,Student282,20,96
283,Student283,21,97
284,Student284,22,98
285,Student285,18,99
286,Student286,19,100
287,Student287,20,60
288,Student288,21,61
289,Student289,22,62
290,Student290,18,63
291,Student291,19,64
292,Student292,20,65
293,Student293,21,66
294,Student294,22,67
295,Student295,18,68
296,Student296,19,69
297,Student297,20,70
298,Student298,21,71
299,Student299,22,72
300,Student300,18,73
301,Student301,19,74
302,Student302,20,75
303,Student303,21,76
304,Student304,22,77
305,Student305,18,78
306,Student306,19,79
307,Student307,20,80
308,Student308,21,81
309,Student309,22,82
310,Student310,18,83
311,Student311,19,84
312,Student312,20,85
313,Student313,21,86
314,Student314,22,87
315,Student315,18,88
316,Student316,19,89
317,Student317,20,90
318,Student318,21,91
319,Student319,22,92
320,Student320,18,93
321,Student321,19,94
322,Student322,20,95
323,Student323,21,96
324,Student324,22,97
325,Student325,18,98
326,Student326,19,99
327,Student327,20,100
328,Student328,21,60
329,Student329,22,61
330,Student330,18,62
331,Student331,19,63
332,Student332,20,64
333,Student333,21,65
334,Student334,22,66
335,Student335,18,67
336,Student336,19,68
337,Student337,20,69
338,Student338,21,70
339,Student339,22,71
340,Student340,18,72
341,Student341,19,73
342,Student342,20,74
343,Student343,21,75
344,Student344,22,76
345,Student345,18,77
346,Student346,19,78
347,Student347,20,79
348,Student348,21,80
349,Student349,22,81
350,Student350,18,82
351,Student351,19,83
352,Student352,20,84
353,Student353,21,85
354,Student354,22,86
355,Student355,18,87
356,Student356,19,88
357,Student357,20,89
358,Student358,21,90
359,Student359,22,91
360,Student360,18,92
361,Student361,19,93
362,Student362,20,94
363,Student363,21,95
364,Student364,22,96
365,Student365,18,97
366,Student366,19,98
367,Student367,20,99
368,Student368,21,100
369,Student369,22,60
370,Student370,18,61
371,Student371,19,62
372,Student372,20,63
373,Student373,21,64
374,Student374,22,65
375,Student375,18,66
376,Student376,19,67
377,Student377,20,68
378,Student378,21,69
379,Student379,22,70
380,Student380,18,71
381,Student381,19,72
382,Student382,20,73
383,Student383,21,74
384,Student384,22,75
385,Student385,18,76
386,Student386,19,77
387,Student387,20,78
388,Student388,21,79
389,Student389,22,80
390,Student390,18,81
391,Student391,19,82
392,Student392,20,83
393,Student393,21,84
394,Student394,22,85
395,Student395,18,86
396,Student396,19,87
397,Student397,20,88
398,Student398,21,89
399,Student399,22,90
400,Student400,18,91
401,Student401,19,92
402,Student402,20,93
403,Student403,21,94
404,Student404,22,95
405,Student405,18,96
406,Student406,19,97
407,Student407,20,98
408,Student408,21,99
409,Student409,22,100
410,Student410,18,60
